ID1 ID2 kin k0 k2 nsnp relationship
TXL_0030 TXL_0091 0.371417694771567 0.501551135762515 -0.0213821734064874 1473 fullsib
GOM_2276 TXL_0014 0.370676246514947 0.730329701409608 -0.173042472836847 1619 fullsib
TXL_0010 TXL_0088 0.369184031464292 0.966404723148666 -0.112328240645363 1547 fullsib
GOM_2283 TXL_0010 0.368102886129922 0.554209049581992 -0.198580899954046 1726 fullsib
SEN_1963 SEN_2242 0.367572839045888 0.581487107085724 0.827842795492092 3145 fullsib
SEN_1977 SEN_2242 0.366336862053943 0.483342962844851 0.735851237203497 3034 fullsib
GOM_2283 TXL_0009 0.366313289248942 0.747583210465395 -0.213845597602545 1399 fullsib
GOM_2283 TXL_0019 0.365484297085059 0.459029083231832 -0.19901145726038 1427 fullsib
SEN_2236 SEN_2238 0.363977006818264 0.78139606198752 0.701228247800065 2993 fullsib
SEN_1963 SEN_1977 0.363878694143826 0.475170035127096 0.553504762851972 3059 fullsib
TXL_0023 TXL_0091 0.361454388750611 0.569665229627549 -0.085502894943793 1448 fullsib
GOM_2276 TXL_0091 0.354160297179092 0.571907285866909 -0.0219310701913439 1378 fullsib
VZ_2602 VZ_2606 0.353057150445572 0 0.907250687798533 6150 halfsib
GOM_2276 TXL_0088 0.35299587828888 0.700078045852519 -0.212674026888387 1547 halfsib
GOM_2283 TXL_0088 0.351199900845216 0.625998401634438 -0.18637937324942 1424 halfsib
GOM_2276 TXL_0030 0.349916990548141 0.67460975945712 -0.202904785313965 1889 halfsib
TXL_0014 TXL_0088 0.343881446536546 0.990583674286828 -0.182143699432599 1633 halfsib
TXL_0023 TXL_0033 0.343561040633727 0.614936303021775 0.0740958002033673 1438 halfsib
TXL_0014 TXL_0091 0.343500351555974 0.711977598109861 -0.0169129884276424 1386 halfsib
SEN_1977 SEN_2238 0.343104318265417 0.639365634637027 0.641476827895908 2842 halfsib
TXL_0014 TXL_0033 0.339413873932998 0.616463276867535 0.0494529695118524 1361 halfsib
GOM_2283 TXL_0023 0.332658244984204 0.642024421301048 -0.230882334847328 1514 halfsib
GOM_2283 TXL_0091 0.329806128760172 0.52733426013423 -0.167449001098305 1292 halfsib
GOM_2276 TXL_0033 0.324865547051423 0.34445055881517 -0.0454365698966538 1976 halfsib
GOM_2283 TXL_0030 0.32388980134274 0.560139685032035 -0.194779531239084 1748 halfsib
TXL_0010 TXL_0033 0.315321100092949 0.727006141289975 -0.00268303888347325 1526 halfsib
GOM_2283 TXL_0014 0.311992199782885 0.924978193196586 -0.232643789757095 1497 halfsib
TXL_0033 TXL_0091 0.311560524928476 0.442092489557786 0.0275182219401163 1706 halfsib
TXL_0033 TXL_0088 0.302700421108714 0.633972035071432 -0.108046541457971 1313 halfsib
TXL_0019 TXL_0033 0.300976579160851 0.683060018221212 0.0254410595769973 1318 halfsib
TXL_0030 TXL_0033 0.292222344042901 0.83829040606691 0.0487534987397897 1650 halfsib
GOM_2276 GOM_2283 0.269526645729317 0.353867278194188 -0.424779509788159 2759 halfsib
GOM_2283 TXL_0033 0.252754493934703 0.556715765580892 -0.140885904414507 1900 halfsib
SEN_1981 SEN_2236 0.238983603769695 0.6031440146311 0.376961709183127 2149 halfsib
SEN_1981 SEN_2242 0.235880033010108 0.279369324326728 0.316965930240756 2154 halfsib
SEN_1963 SEN_1981 0.231935848302291 0.39185387072247 0.337899888627042 2211 halfsib
SEN_1981 SEN_2238 0.226214597462117 0.350298182930675 0.264810271075309 2301 halfsib
SEN_1979 SEN_1981 0.225455614760007 0.451983888142339 0.314375970058896 2169 halfsib
SEN_1977 SEN_1981 0.223447253151229 0.531571603159503 0.39677517625007 2075 halfsib
LA_1791 TXL_0023 0.192913020237867 0.550484263197261 -0.478011363113233 1443 halfsib
LA_1791 TXL_0033 0.183499717184172 0.457669932254862 -0.283528510111658 1156 halfsib
