name	population	region	year
TX_0066	GOM	W	2013
TX_0067	GOM	W	2013
TX_0068	GOM	W	2013
TX_0071	GOM	W	2013
TX_0072	GOM	W	2013
TX_0073	GOM	W	2013
TX_0074	GOM	W	2013
TX_0075	GOM	W	2013
VZ_1739	VZ	W	2017
VZ_1741	VZ	W	2017
VZ_1742	VZ	W	2017
VZ_1744	VZ	W	2017
VZ_1745	VZ	W	2017
VZ_1746	VZ	W	2017
VZ_1747	VZ	W	2017
VZ_1749	VZ	W	2017
VZ_1751	VZ	W	2017
VZ_1752	VZ	W	2017
VZ_1753	VZ	W	2017
VZ_1754	VZ	W	2017
VZ_1755	VZ	W	2017
VZ_1756	VZ	W	2017
VZ_1758	VZ	W	2017
VZ_1759	VZ	W	2017
VZ_1760	VZ	W	2017
VZ_1761	VZ	W	2017
VZ_1762	VZ	W	2017
VZ_1763	VZ	W	2017
VZ_1764	VZ	W	2017
VZ_1765	VZ	W	2017
VZ_1766	VZ	W	2017
VZ_1767	VZ	W	2017
VZ_1768	VZ	W	2017
VZ_1769	VZ	W	2017
VZ_1770	VZ	W	2017
VZ_1772	VZ	W	2017
VZ_1773	VZ	W	2017
VZ_1774	VZ	W	2017
VZ_1775	VZ	W	2017
VZ_1776	VZ	W	2017
VZ_1777	VZ	W	2017
VZ_1778	VZ	W	2017
VZ_1779	VZ	W	2017
VZ_1780	VZ	W	2017
VZ_1781	VZ	W	2017
VZ_1783	VZ	W	2017
VZ_1784	VZ	W	2017
VZ_1786	VZ	W	2017
VZ_1788	VZ	W	2017
VZ_1789	VZ	W	2017
VZ_2579	VZ	W	2017
VZ_2580	VZ	W	2017
VZ_2581	VZ	W	2017
VZ_2582	VZ	W	2017
VZ_2583	VZ	W	2017
VZ_2584	VZ	W	2017
VZ_2585	VZ	W	2017
VZ_2586	VZ	W	2017
VZ_2587	VZ	W	2017
VZ_2589	VZ	W	2019
VZ_2591	VZ	W	2019
VZ_2592	VZ	W	2019
